iter	Passed	Remaining
0	1	108
1	1	95
2	2	90
3	3	87
4	4	89
5	6	97
6	7	98
7	8	97
8	9	94
9	10	91
10	11	89
11	11	86
12	12	84
13	13	82
14	14	81
15	15	79
16	15	77
17	16	76
18	17	75
19	18	74
20	19	72
21	20	71
22	21	73
23	22	72
24	23	70
25	24	69
26	25	68
27	26	66
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	30	60
34	31	59
35	32	58
36	33	57
37	34	56
38	36	56
39	37	55
40	37	54
41	38	53
42	39	52
43	40	51
44	41	50
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	52	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	58	31
65	59	30
66	60	29
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	69	20
77	70	19
78	71	18
79	72	18
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
