iter	Passed	Remaining
0	154	154799
1	156	78272
2	158	52558
3	178	44506
4	180	35859
5	181	30046
6	186	26415
7	187	23301
8	189	20846
9	190	18895
10	192	17283
11	193	15945
12	195	14813
13	196	13837
14	197	12990
15	202	12430
16	208	12032
17	219	11971
18	234	12105
19	236	11573
20	237	11091
21	239	10637
22	240	10227
23	242	9847
24	244	9529
25	246	9236
26	248	8950
27	251	8736
28	253	8475
29	293	9488
30	300	9385
31	302	9147
32	320	9394
33	322	9155
34	326	9009
35	337	9035
36	348	9075
37	355	8990
38	357	8801
39	360	8654
40	430	10060
41	431	9853
42	434	9668
43	447	9719
44	449	9548
45	456	9476
46	458	9303
47	482	9575
48	484	9398
49	485	9222
50	486	9055
51	488	8900
52	512	9155
53	536	9390
54	544	9363
55	551	9300
56	554	9167
57	563	9154
58	566	9042
59	572	8967
60	576	8879
61	590	8937
62	593	8819
63	595	8702
64	596	8579
65	598	8468
66	610	8507
67	619	8490
68	624	8429
69	636	8462
70	638	8360
71	640	8259
72	642	8157
73	644	8064
74	664	8193
75	667	8109
76	668	8011
77	689	8144
78	702	8187
79	708	8143
80	716	8131
81	730	8179
82	732	8092
83	735	8023
84	736	7932
85	746	7938
86	757	7950
87	766	7944
88	778	7966
89	780	7893
90	782	7813
91	784	7738
92	805	7854
93	806	7776
94	830	7908
95	832	7835
96	850	7922
97	853	7852
98	854	7780
99	873	7858
100	875	7793
101	877	7721
102	879	7656
103	880	7586
104	890	7594
105	893	7537
106	894	7469
107	896	7401
108	897	7335
109	912	7385
110	914	7324
111	915	7262
112	917	7202
113	918	7141
114	920	7082
115	922	7026
116	934	7051
117	937	7003
118	938	6948
119	939	6892
120	941	6837
121	942	6781
122	943	6728
123	945	6676
124	955	6685
125	964	6688
126	965	6639
127	968	6598
128	1013	6841
129	1014	6791
130	1016	6741
131	1017	6692
132	1032	6729
133	1033	6680
134	1038	6651
135	1066	6776
136	1075	6777
137	1077	6728
138	1078	6679
139	1079	6630
140	1080	6585
141	1091	6593
142	1098	6581
143	1101	6550
144	1103	6505
145	1104	6460
146	1127	6545
147	1129	6499
148	1144	6533
149	1146	6498
150	1147	6453
151	1149	6410
152	1150	6367
153	1151	6325
154	1152	6282
155	1153	6241
156	1157	6215
157	1158	6175
158	1160	6137
159	1161	6097
160	1162	6056
161	1163	6016
162	1164	5978
163	1166	5946
164	1185	5997
165	1186	5960
166	1187	5924
167	1189	5892
168	1212	5962
169	1214	5927
170	1215	5892
171	1230	5922
172	1232	5891
173	1234	5859
174	1236	5829
175	1238	5796
176	1253	5829
177	1255	5796
178	1262	5791
179	1287	5863
180	1309	5927
181	1337	6009
182	1359	6069
183	1361	6036
184	1379	6076
185	1381	6045
186	1382	6012
187	1384	5981
188	1396	5992
189	1400	5969
190	1402	5941
191	1404	5909
192	1405	5878
193	1407	5847
194	1409	5816
195	1447	5936
196	1450	5911
197	1453	5887
198	1456	5861
199	1457	5830
200	1475	5863
201	1483	5859
202	1503	5904
203	1505	5874
204	1507	5845
205	1524	5876
206	1529	5858
207	1531	5831
208	1547	5855
209	1548	5826
210	1551	5800
211	1552	5770
212	1554	5742
213	1556	5715
214	1575	5751
215	1579	5732
216	1589	5735
217	1591	5709
218	1597	5698
219	1599	5671
220	1618	5703
221	1621	5683
222	1623	5656
223	1625	5630
224	1627	5605
225	1631	5588
226	1633	5562
227	1634	5535
228	1636	5509
229	1637	5483
230	1639	5457
231	1640	5431
232	1660	5465
233	1661	5439
234	1663	5413
235	1678	5435
236	1680	5410
237	1682	5386
238	1684	5362
239	1685	5338
240	1687	5314
241	1688	5289
242	1703	5308
243	1705	5284
244	1707	5261
245	1708	5237
246	1724	5258
247	1726	5236
248	1728	5213
249	1730	5191
250	1733	5173
251	1737	5156
252	1745	5154
253	1757	5162
254	1759	5139
255	1761	5118
256	1764	5101
257	1768	5086
258	1803	5160
259	1805	5137
260	1822	5160
261	1824	5139
262	1842	5164
263	1846	5146
264	1847	5124
265	1849	5103
266	1864	5117
267	1868	5102
268	1869	5080
269	1871	5058
270	1872	5037
271	1896	5076
272	1914	5099
273	1916	5079
274	1918	5058
275	1920	5037
276	1946	5079
277	1965	5104
278	1967	5084
279	1969	5063
280	1970	5042
281	1990	5066
282	1991	5045
283	1992	5024
284	1994	5004
285	2011	5022
286	2014	5005
287	2016	4985
288	2018	4965
289	2041	4997
290	2043	4979
291	2045	4960
292	2047	4940
293	2049	4920
294	2069	4945
295	2071	4926
296	2077	4918
297	2081	4903
298	2083	4884
299	2101	4903
300	2102	4883
301	2104	4863
302	2106	4845
303	2114	4841
304	2115	4821
305	2117	4802
306	2119	4785
307	2135	4798
308	2163	4838
309	2166	4821
310	2167	4801
311	2169	4784
312	2193	4815
313	2195	4796
314	2197	4778
315	2199	4759
316	2201	4744
317	2215	4750
318	2217	4734
319	2219	4717
320	2221	4698
321	2222	4680
322	2224	4662
323	2241	4677
324	2243	4660
325	2246	4644
326	2267	4666
327	2269	4650
328	2273	4636
329	2275	4619
330	2276	4601
331	2278	4584
332	2287	4582
333	2304	4595
334	2308	4582
335	2316	4578
336	2501	4922
337	2503	4903
338	2505	4886
339	2509	4871
340	2516	4864
341	2519	4847
342	2545	4875
343	2546	4856
344	2549	4839
345	2550	4821
346	2577	4849
347	2579	4832
348	2581	4815
349	2617	4860
350	2618	4841
351	2620	4823
352	2621	4804
353	2622	4786
354	2624	4768
355	2628	4754
356	2630	4737
357	2637	4730
358	2639	4712
359	2640	4695
360	2662	4713
361	2665	4698
362	2668	4682
363	2688	4697
364	2692	4684
365	2698	4674
366	2700	4657
367	2702	4640
368	2704	4624
